Iso3,Location Name,AMRO subregions,Causename Eng,Year,Sex,Age group,Measure Name En,Metric Name En,Measure Names,Measure Values
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Deaths,Rate,Value Up,1.468666456
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Deaths,Rate,Value Low,0.688193013
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Deaths,Rate,Value,1.023702864
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value Up,437.516312731
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value Low,122.209371535
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value,279.862842133
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Years Lived with Disability (YLDs),Rate,Value Up,397.43240793
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Years Lived with Disability (YLDs),Rate,Value Low,139.482675418
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Years Lived with Disability (YLDs),Rate,Value,244.43824492
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Years of Life Lost (YLLs),Rate,Value Up,51.389865801
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Years of Life Lost (YLLs),Rate,Value Low,23.864499775
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,Age-standardized,Years of Life Lost (YLLs),Rate,Value,35.424597213
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Deaths,Rate,Value Up,1.855819766
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Deaths,Rate,Value Low,0.865916929
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Deaths,Rate,Value,1.296286725
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Disability-Adjusted Life Years (DALYs),Rate,Value Up,430.506268606
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Disability-Adjusted Life Years (DALYs),Rate,Value Low,126.193010143
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Disability-Adjusted Life Years (DALYs),Rate,Value,278.349639374
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Years Lived with Disability (YLDs),Rate,Value Up,386.915800614
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Years Lived with Disability (YLDs),Rate,Value Low,138.285121806
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Years Lived with Disability (YLDs),Rate,Value,240.126424478
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Years of Life Lost (YLLs),Rate,Value Up,55.133987506
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Years of Life Lost (YLLs),Rate,Value Low,25.832629137
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Both sexes,All Ages,Years of Life Lost (YLLs),Rate,Value,38.223214896
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Deaths,Rate,Value Up,1.26705518
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Deaths,Rate,Value Low,0.638520603
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Deaths,Rate,Value,0.904550136
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value Up,400.994239252
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value Low,108.124891712
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value,254.559565482
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,Value Up,363.770288333
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,Value Low,125.227607991
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,Value,221.618430079
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Years of Life Lost (YLLs),Rate,Value Up,46.191967221
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Years of Life Lost (YLLs),Rate,Value Low,23.083996916
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,Age-standardized,Years of Life Lost (YLLs),Rate,Value,32.941135403
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Deaths,Rate,Value Up,1.453226638
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Deaths,Rate,Value Low,0.732474428
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Deaths,Rate,Value,1.037227273
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Disability-Adjusted Life Years (DALYs),Rate,Value Up,388.123328601
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Disability-Adjusted Life Years (DALYs),Rate,Value Low,108.469217688
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Disability-Adjusted Life Years (DALYs),Rate,Value,248.296273144
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Years Lived with Disability (YLDs),Rate,Value Up,349.200778694
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Years Lived with Disability (YLDs),Rate,Value Low,121.663134791
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Years Lived with Disability (YLDs),Rate,Value,214.034826934
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Years of Life Lost (YLLs),Rate,Value Up,47.875137543
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Years of Life Lost (YLLs),Rate,Value Low,24.151612576
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Male,All Ages,Years of Life Lost (YLLs),Rate,Value,34.26144621
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Deaths,Rate,Value Up,1.637368951
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Deaths,Rate,Value Low,0.728250117
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Deaths,Rate,Value,1.120563417
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value Up,470.696591907
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value Low,134.974734004
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value,302.835662955
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Years Lived with Disability (YLDs),Rate,Value Up,428.157391738
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Years Lived with Disability (YLDs),Rate,Value Low,152.501523931
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Years Lived with Disability (YLDs),Rate,Value,265.28641774
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Years of Life Lost (YLLs),Rate,Value Up,56.072438145
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Years of Life Lost (YLLs),Rate,Value Low,24.462914914
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,Age-standardized,Years of Life Lost (YLLs),Rate,Value,37.549245215
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Deaths,Rate,Value Up,2.247426341
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Deaths,Rate,Value Low,0.995717856
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Deaths,Rate,Value,1.548276582
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Disability-Adjusted Life Years (DALYs),Rate,Value Up,471.732600648
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Disability-Adjusted Life Years (DALYs),Rate,Value Low,143.433129698
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Disability-Adjusted Life Years (DALYs),Rate,Value,307.582865173
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Years Lived with Disability (YLDs),Rate,Value Up,423.601599581
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Years Lived with Disability (YLDs),Rate,Value Low,154.453503608
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Years Lived with Disability (YLDs),Rate,Value,265.505996158
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Years of Life Lost (YLLs),Rate,Value Up,62.194747302
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Years of Life Lost (YLLs),Rate,Value Low,27.467771648
AMRO,Region of the Americas,Region of the Americas,Asthma,2019,Female,All Ages,Years of Life Lost (YLLs),Rate,Value,42.076869015
AMRO,Region of the Americas,Region of the Americas,Chronic obstructive pulmonary disease,2019,Both sexes,Age-standardized,Deaths,Rate,Value Up,29.72007909
AMRO,Region of the Americas,Region of the Americas,Chronic obstructive pulmonary disease,2019,Both sexes,Age-standardized,Deaths,Rate,Value Low,19.166381883
AMRO,Region of the Americas,Region of the Americas,Chronic obstructive pulmonary disease,2019,Both sexes,Age-standardized,Deaths,Rate,Value,25.095528897
AMRO,Region of the Americas,Region of the Americas,Chronic obstructive pulmonary disease,2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value Up,764.62862342
AMRO,Region of the Americas,Region of the Americas,Chronic obstructive pulmonary disease,2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,Value Low,515.443671007
